INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
FUTIDX,BANKNIFTY,24-Sep-15,0,XX,17551.35,17660.9,17152.3,17273.05,17273.05,169413,738192.86,1965175,51825,28-Aug-15
FUTIDX,BANKNIFTY,29-Oct-15,0,XX,17660.05,17762,17261.05,17385.65,17385.65,2855,12520.17,45000,2200,28-Aug-15
FUTIDX,BANKNIFTY,26-Nov-15,0,XX,17825.35,18244,17390,17470.45,17470.45,145,767.82,1590,1590,28-Aug-15
FUTIDX,CNXINFRA,25-Sep-15,0,XX,2000,3000,1500,3362.5,3008.85,0,0,0,0,28-Aug-15
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
